 
WHIST-20260527.00,Jeux,Donneur,Annonces de la partie [WHIST-20260527],Points,JiPé,JiJi,Robi,José,Francis,JMarc
ANNONCES.48,49,Seul,6-2,-12,1
ANNONCES.49,50,Seul,7,9,1
ANNONCES.50,51,Seul,7+1,12,1
ANNONCES.51,52,Seul,7-1,-9,1
ANNONCES.52,53,Seul,7-2,-12,1
ANNONCES.53,54,Seul,8,12,1
ANNONCES.54,55,Seul,8-1,-15,1
ANNONCES.55,56,Seul,8-2,-18,1
ANNONCES.56,57,8 sur P.Misere,Gagne,15,1
ANNONCES.57,58,8 sur P.Misere,Perdu,-30,1
ANNONCES.58,59,1-P.Misere,Gagnee,12,1
ANNONCES.59,60,1-P.Misere,Perdue,-24,1
ANNONCES.60,61,1-G.Misere,Gagnee,24,1
ANNONCES.61,62,1-G.Misere,Perdue,-48,1
ANNONCES.62,63,Abondance-9,Gagnee,18,1
ANNONCES.63,64,Abondance-10,Gagnee,24,1
ANNONCES.64,65,Abondance-11,Gagnee,30,1
ANNONCES.65,66,Abondance,Double,36,1
ANNONCES.66,67,Abondance-9,Perdue,-36,1
ANNONCES.67,68,Abondance-10,Perdue,-48,1
ANNONCES.68,69,Abondance-11,Perdue,-60,1
ANNONCES.69,70,1-GM/Trou,Gagnee,36,1
ANNONCES.70,71,1-GM/Trou,Perdu,-72,1
ANNONCES.71,72,P-Schlem,Gagne,120,1
ANNONCES.72,73,P-Schlem,Perdu,-120,1
ANNONCES.73,74,G-Schlem,Gagne,240,1
ANNONCES.74,75,G-Schlem,Perdu,-240,1
0-WHISTAPP.00,switch=?
0-WHISTAPP.01,ckNameDef=PARTIES-WHIST
0-WHISTAPP.02,ckNamePfx=WHIST-
0-WHISTAPP.03,joueursPfx=WHISTER.
0-WHISTAPP.04,annoncesPfx=ANNONCES.
0-WHISTAPP.05,application=0-WHISTAPP.
0-WHISTAPP.06,defOpts=height=500,width=1100,top=100,left=100,resizable=yes
0-WHISTAPP.07,sepCSV=!
0-WHISTAPP.08,bSquare=■
0-WHISTAPP.09,nbrJeux=100
